task_id,model_id,architecture,text,code_reference,test_setup_code,test_list,code,pass@1,codebleu
11,deepseek-v4-pro,MoE,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",,"assert remove_Occ(""hello"",""l"") == ""heo""
assert remove_Occ(""abcda"",""a"") == ""bcd""
assert remove_Occ(""PHP"",""P"") == ""H""","def remove_Occ(s, ch):
    first = s.find(ch)
    last = s.rfind(ch)
    if first == -1:
        return s
    if first == last:
        return s[:first] + s[first+1:]
    return s[:first] + s[first+1:last] + s[last+1:]",passed,0.1728
12,deepseek-v4-pro,MoE,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",,"assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]
assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]
assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]","def sort_matrix(matrix):
    return sorted(matrix, key=sum)",passed,0.1918
13,deepseek-v4-pro,MoE,Write a function to count the most common words in a dictionary.,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  top_four = word_counts.most_common(4)
  return (top_four)
",,"assert count_common(['red','green','black','pink','black','white','black','eyes','white','black','orange','pink','pink','red','red','white','orange','white',""black"",'pink','green','green','pink','green','pink','white','orange',""orange"",'red']) == [('pink', 6), ('black', 5), ('white', 5), ('red', 4)]
assert count_common(['one', 'two', 'three', 'four', 'five', 'one', 'two', 'one', 'three', 'one']) == [('one', 4), ('two', 2), ('three', 2), ('four', 1)]
assert count_common(['Facebook', 'Apple', 'Amazon', 'Netflix', 'Google', 'Apple', 'Netflix', 'Amazon']) == [('Apple', 2), ('Amazon', 2), ('Netflix', 2), ('Facebook', 1)]","from collections import Counter

def count_common(words):
    counter = Counter(words)
    return counter.most_common(4)",passed,0.5127
14,deepseek-v4-pro,MoE,Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",,"assert find_Volume(10,8,6) == 240
assert find_Volume(3,2,2) == 6
assert find_Volume(1,2,1) == 1","def find_Volume(a, b, h):
    return (0.5 * a * b) * h",passed,0.2887
15,deepseek-v4-pro,MoE,Write a function to split a string at lowercase letters.,"import re
def split_lowerstring(text):
 return (re.findall('[a-z][^a-z]*', text))",,"assert split_lowerstring(""AbCd"")==['bC','d']
assert split_lowerstring(""Python"")==['y', 't', 'h', 'o', 'n']
assert split_lowerstring(""Programming"")==['r', 'o', 'g', 'r', 'a', 'm', 'm', 'i', 'n', 'g']","import re

def split_lowerstring(s):
    parts = re.split(r'[a-z]', s)
    result = []
    for i, ch in enumerate(s):
        if ch.islower():
            result.append(ch)
    return result",AssertionError,0.4564
16,deepseek-v4-pro,MoE,Write a function to find sequences of lowercase letters joined with an underscore.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')",,"assert text_lowercase_underscore(""aab_cbbbc"")==('Found a match!')
assert text_lowercase_underscore(""aab_Abbbc"")==('Not matched!')
assert text_lowercase_underscore(""Aaab_abbbc"")==('Not matched!')","import re

def text_lowercase_underscore(s):
    if re.fullmatch(r'[a-z]+_[a-z]+', s):
        return 'Found a match!'
    else:
        return 'Not matched!'",passed,0.4048
17,deepseek-v4-pro,MoE,Write a function to find the perimeter of a square.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter",,"assert square_perimeter(10)==40
assert square_perimeter(5)==20
assert square_perimeter(4)==16","def square_perimeter(side):
    return 4 * side",passed,0.1934
18,deepseek-v4-pro,MoE,Write a function to remove characters from the first string which are present in the second string.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",,"assert remove_dirty_chars(""probasscurve"", ""pros"") == 'bacuve'
assert remove_dirty_chars(""digitalindia"", ""talent"") == 'digiidi'
assert remove_dirty_chars(""exoticmiles"", ""toxic"") == 'emles' ","def remove_dirty_chars(string1, string2):
    result = []
    for char in string1:
        if char not in string2:
            result.append(char)
    return ''.join(result)",passed,0.0902
19,deepseek-v4-pro,MoE,Write a function to find whether a given array of integers contains any duplicate element.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",,"assert test_duplicate(([1,2,3,4,5]))==False
assert test_duplicate(([1,2,3,4, 4]))==True
assert test_duplicate([1,1,2,2,3,3,4,4,5])==True","def test_duplicate(arr):
    return len(arr) != len(set(arr))",passed,0.2675
20,deepseek-v4-pro,MoE,Write a function to check if the given number is woodball or not.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",,"assert is_woodall(383) == True
assert is_woodall(254) == False
assert is_woodall(200) == False","import math

def is_woodall(n):
    if n < 1:
        return False
    x = 1
    while True:
        val = x * (2**x) - 1
        if val == n:
            return True
        if val > n:
            return False
        x += 1",passed,0.1815
21,deepseek-v4-pro,MoE,Write a function to find m number of multiples of n.,"def multiples_of_num(m,n): 
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    return list(multiples_of_num)",,"assert multiples_of_num(4,3)== [3,6,9,12]
assert multiples_of_num(2,5)== [5,10]
assert multiples_of_num(9,2)== [2,4,6,8,10,12,14,16,18]","def multiples_of_num(m, n):
    return [n * i for i in range(1, m + 1)]",passed,0.1935
