task_id,model_id,architecture,text,code_reference,test_setup_code,test_list,code,pass@1,codebleu
11,claude-opus-4-7,LLM,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",,"assert remove_Occ(""hello"",""l"") == ""heo""
assert remove_Occ(""abcda"",""a"") == ""bcd""
assert remove_Occ(""PHP"",""P"") == ""H""","def remove_Occ(s,c):
    i=s.find(c)
    if i==-1: return s
    s=s[:i]+s[i+1:]
    j=s.rfind(c)
    if j==-1: return s
    return s[:j]+s[j+1:]",passed,0.1779
12,claude-opus-4-7,LLM,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",,"assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]
assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]
assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]","def sort_matrix(m):
    return sorted(m, key=sum)",passed,0.1918
13,claude-opus-4-7,LLM,Write a function to count the most common words in a dictionary.,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  top_four = word_counts.most_common(4)
  return (top_four)
",,"assert count_common(['red','green','black','pink','black','white','black','eyes','white','black','orange','pink','pink','red','red','white','orange','white',""black"",'pink','green','green','pink','green','pink','white','orange',""orange"",'red']) == [('pink', 6), ('black', 5), ('white', 5), ('red', 4)]
assert count_common(['one', 'two', 'three', 'four', 'five', 'one', 'two', 'one', 'three', 'one']) == [('one', 4), ('two', 2), ('three', 2), ('four', 1)]
assert count_common(['Facebook', 'Apple', 'Amazon', 'Netflix', 'Google', 'Apple', 'Netflix', 'Amazon']) == [('Apple', 2), ('Amazon', 2), ('Netflix', 2), ('Facebook', 1)]","from collections import Counter
def count_common(l):
    return Counter(l).most_common(4)",passed,0.3407
14,claude-opus-4-7,LLM,Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",,"assert find_Volume(10,8,6) == 240
assert find_Volume(3,2,2) == 6
assert find_Volume(1,2,1) == 1","def find_Volume(l,b,h):
    return (l*b*h)//2",passed,0.3865
15,claude-opus-4-7,LLM,Write a function to split a string at lowercase letters.,"import re
def split_lowerstring(text):
 return (re.findall('[a-z][^a-z]*', text))",,"assert split_lowerstring(""AbCd"")==['bC','d']
assert split_lowerstring(""Python"")==['y', 't', 'h', 'o', 'n']
assert split_lowerstring(""Programming"")==['r', 'o', 'g', 'r', 'a', 'm', 'm', 'i', 'n', 'g']","import re
def split_lowerstring(text):
    return re.findall('[a-z][^a-z]*', text)",passed,0.7121
16,claude-opus-4-7,LLM,Write a function to find sequences of lowercase letters joined with an underscore.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')",,"assert text_lowercase_underscore(""aab_cbbbc"")==('Found a match!')
assert text_lowercase_underscore(""aab_Abbbc"")==('Not matched!')
assert text_lowercase_underscore(""Aaab_abbbc"")==('Not matched!')","import re
def text_lowercase_underscore(t):
    return 'Found a match!' if re.search(r'[a-z]+_[a-z]+',t) else 'Not matched!'",AssertionError,0.339
17,claude-opus-4-7,LLM,Write a function to find the perimeter of a square.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter",,"assert square_perimeter(10)==40
assert square_perimeter(5)==20
assert square_perimeter(4)==16","def square_perimeter(a):
    return 4*a",passed,0.2334
18,claude-opus-4-7,LLM,Write a function to remove characters from the first string which are present in the second string.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",,"assert remove_dirty_chars(""probasscurve"", ""pros"") == 'bacuve'
assert remove_dirty_chars(""digitalindia"", ""talent"") == 'digiidi'
assert remove_dirty_chars(""exoticmiles"", ""toxic"") == 'emles' ","def remove_dirty_chars(s, t):
    return ''.join(c for c in s if c not in t)",passed,0.0257
19,claude-opus-4-7,LLM,Write a function to find whether a given array of integers contains any duplicate element.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",,"assert test_duplicate(([1,2,3,4,5]))==False
assert test_duplicate(([1,2,3,4, 4]))==True
assert test_duplicate([1,1,2,2,3,3,4,4,5])==True","def test_duplicate(arr):
    return len(arr)!=len(set(arr))",passed,0.2659
20,claude-opus-4-7,LLM,Write a function to check if the given number is woodball or not.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",,"assert is_woodall(383) == True
assert is_woodall(254) == False
assert is_woodall(200) == False","def is_woodall(n):
    if n%2==0: return False
    n+=1
    while n%2==0: n//=2
    return n==1",AssertionError,0.1735
