benchmark,task_id,risolto_deepseek-v4-pro,risolto_ministral-8b
ds1000,11,True,False
ds1000,27,True,False
ds1000,60,True,False
ds1000,129,False,True
ds1000,206,True,True
ds1000,208,True,False
ds1000,215,True,True
ds1000,219,True,True
ds1000,234,True,False
ds1000,236,True,True
ds1000,238,True,False
ds1000,240,False,True
ds1000,241,True,True
ds1000,248,True,True
ds1000,409,True,False
ds1000,532,True,True
ds1000,544,True,True
ds1000,562,True,True
ds1000,592,True,False
ds1000,730,True,True
ds1000,739,False,True
ds1000,740,True,False
ds1000,747,True,False
ds1000,800,True,False
ds1000,823,True,False
ds1000,839,False,True
ds1000,874,False,True
ds1000,907,False,True
ds1000,916,True,True
ds1000,927,True,False
ds1000,999,True,True
humaneval,HumanEval/140,True,False
mbpp,16,True,True
mbpp,20,True,True
mbpp,43,True,True
mbpp,183,True,True
mbpp,214,True,False
mbpp,239,True,False
mbpp,246,True,True
mbpp,301,False,True
mbpp,323,True,True
mbpp,355,True,False
mbpp,375,False,True
mbpp,488,True,True
mbpp,490,True,False
mbpp,500,True,True
multipl-e,cpp/HumanEval_140_fix_spaces,True,True
multipl-e,cs/HumanEval_160_do_algebra,True,False
multipl-e,cs/HumanEval_95_check_dict_case,True,False
multipl-e,dart/HumanEval_131_digits,True,True
multipl-e,dart/HumanEval_77_iscube,True,False
multipl-e,go/HumanEval_106_f,True,True
multipl-e,go/HumanEval_112_reverse_delete,True,True
multipl-e,go/HumanEval_123_get_odd_collatz,False,True
multipl-e,go/HumanEval_124_valid_date,True,False
multipl-e,go/HumanEval_133_sum_squares,True,False
multipl-e,go/HumanEval_134_check_if_last_char_is_a_letter,True,True
multipl-e,go/HumanEval_141_file_name_check,True,False
multipl-e,go/HumanEval_159_eat,True,True
multipl-e,go/HumanEval_161_solve,True,True
multipl-e,go/HumanEval_25_factorize,True,False
multipl-e,go/HumanEval_28_concatenate,True,True
multipl-e,go/HumanEval_34_unique,True,False
multipl-e,go/HumanEval_39_prime_fib,True,False
multipl-e,go/HumanEval_46_fib4,True,True
multipl-e,go/HumanEval_58_common,True,True
multipl-e,go/HumanEval_64_vowels_count,True,True
multipl-e,go/HumanEval_77_iscube,True,False
multipl-e,go/HumanEval_7_filter_by_substring,True,False
multipl-e,go/HumanEval_83_starts_one_ends,True,False
multipl-e,go/HumanEval_85_add,True,True
multipl-e,go/HumanEval_88_sort_array,True,False
multipl-e,go/HumanEval_89_encrypt,False,True
